[RTREE] This is node 13 at depth: 5, the bounding box is (-80.0724,25.1035), (79.6476,47.8939), leaf: 0, edge: 1
[RTREE] This is node 3 at depth: 5, the bounding box is (5.17586,25.45), (14.7889,33.3743), leaf: 0, edge: 1
[RTREE] This is node 44 at depth: 4, the bounding box is (-80.0724,25.1035), (79.6476,47.8939), leaf: 1, edge: 0
[RTREE] This is node 100 at depth: 3, the bounding box is (-80.0724,25.1035), (79.6476,47.8939), leaf: 0, edge: 0
[RTREE] This is node 170 at depth: 5, the bounding box is (-18.3775,-89.0796), (95.1776,-41.7756), leaf: 0, edge: 1
[RTREE] This is node 49 at depth: 5, the bounding box is (-48.0407,-95.9539), (62.2403,-42.2992), leaf: 0, edge: 1
[RTREE] This is node 80 at depth: 5, the bounding box is (-81.0138,-93.9986), (91.6572,-67.7457), leaf: 0, edge: 1
[RTREE] This is node 145 at depth: 5, the bounding box is (-11.3047,-95.0096), (-6.90727,-59.8965), leaf: 0, edge: 1
[RTREE] This is node 168 at depth: 5, the bounding box is (-22.44,-44.5578), (75.6026,-43.4641), leaf: 0, edge: 1
[RTREE] This is node 32 at depth: 4, the bounding box is (-81.0138,-95.9539), (95.1776,-41.7756), leaf: 1, edge: 0
[RTREE] This is node 150 at depth: 5, the bounding box is (81.8714,-66.5646), (85.1984,32.0776), leaf: 0, edge: 1
[RTREE] This is node 115 at depth: 5, the bounding box is (55.4983,-84.8566), (96.1725,4.5402), leaf: 0, edge: 1
[RTREE] This is node 165 at depth: 5, the bounding box is (8.34635,-85.7062), (66.5353,-10.4879), leaf: 0, edge: 1
[RTREE] This is node 166 at depth: 5, the bounding box is (12.114,-85.0416), (49.8458,-3.41216), leaf: 0, edge: 1
[RTREE] This is node 169 at depth: 5, the bounding box is (-59.7279,-28.8215), (-24.8609,45.124), leaf: 0, edge: 1
[RTREE] This is node 90 at depth: 4, the bounding box is (-59.7279,-85.7062), (96.1725,45.124), leaf: 1, edge: 0
[RTREE] This is node 78 at depth: 5, the bounding box is (72.6295,-89.4832), (94.2258,-79.6477), leaf: 0, edge: 1
[RTREE] This is node 102 at depth: 5, the bounding box is (-99.9329,-77.0769), (-81.0291,-74.5594), leaf: 0, edge: 1
[RTREE] This is node 146 at depth: 4, the bounding box is (-99.9329,-89.4832), (94.2258,-74.5594), leaf: 1, edge: 0
[RTREE] This is node 16 at depth: 5, the bounding box is (-81.3404,-98.4649), (22.6595,-25.6396), leaf: 0, edge: 1
[RTREE] This is node 28 at depth: 5, the bounding box is (-39.1124,-90.8063), (72.8882,-20.4528), leaf: 0, edge: 1
[RTREE] This is node 167 at depth: 4, the bounding box is (-81.3404,-98.4649), (72.8882,-20.4528), leaf: 1, edge: 0
[RTREE] This is node 89 at depth: 5, the bounding box is (-96.0478,-95.0144), (-59.2486,-66.5948), leaf: 0, edge: 1
[RTREE] This is node 171 at depth: 4, the bounding box is (-96.0478,-95.0144), (-59.2486,-66.5948), leaf: 1, edge: 0
[RTREE] This is node 42 at depth: 3, the bounding box is (-99.9329,-98.4649), (96.1725,45.124), leaf: 0, edge: 0
[RTREE] This is node 106 at depth: 2, the bounding box is (-99.9329,-98.4649), (96.1725,47.8939), leaf: 0, edge: 0
[RTREE] This is node 103 at depth: 5, the bounding box is (-72.0913,-59.1815), (-41.1542,29.8958), leaf: 0, edge: 1
[RTREE] This is node 153 at depth: 5, the bounding box is (-32.436,-80.3031), (-20.1603,83.7362), leaf: 0, edge: 1
[RTREE] This is node 120 at depth: 4, the bounding box is (-72.0913,-80.3031), (-20.1603,83.7362), leaf: 1, edge: 0
[RTREE] This is node 118 at depth: 5, the bounding box is (-52.5652,38.6542), (10.4662,74.1026), leaf: 0, edge: 1
[RTREE] This is node 108 at depth: 5, the bounding box is (-36.5545,42.2225), (26.6678,79.9029), leaf: 0, edge: 1
[RTREE] This is node 143 at depth: 4, the bounding box is (-52.5652,38.6542), (26.6678,79.9029), leaf: 1, edge: 0
[RTREE] This is node 144 at depth: 3, the bounding box is (-72.0913,-80.3031), (26.6678,83.7362), leaf: 0, edge: 0
[RTREE] This is node 151 at depth: 5, the bounding box is (-52.2415,-39.6664), (6.61208,-2.17982), leaf: 0, edge: 1
[RTREE] This is node 79 at depth: 5, the bounding box is (-98.9666,-62.3552), (68.0632,48.5654), leaf: 0, edge: 1
[RTREE] This is node 155 at depth: 4, the bounding box is (-98.9666,-62.3552), (68.0632,48.5654), leaf: 1, edge: 0
[RTREE] This is node 38 at depth: 5, the bounding box is (-99.5113,-66.7886), (77.7179,74.6206), leaf: 0, edge: 1
