[RTREE] This is node 63 at depth: 10, the bounding box is (-95.9953,31.3496), (-50.273,51.5309), leaf: 0, edge: 1
[RTREE] This is node 1 at depth: 10, the bounding box is (-92.6401,-7.61993), (-35.9038,66.8626), leaf: 0, edge: 1
[RTREE] This is node 1899 at depth: 10, the bounding box is (-86.5969,34.8026), (-80.8235,56.4585), leaf: 0, edge: 1
[RTREE] This is node 1892 at depth: 9, the bounding box is (-95.9953,-7.61993), (-35.9038,66.8626), leaf: 1, edge: 0
[RTREE] This is node 1890 at depth: 10, the bounding box is (-88.278,26.0776), (33.2657,80.0819), leaf: 0, edge: 1
[RTREE] This is node 1884 at depth: 10, the bounding box is (-89.4803,2.1207), (0.773237,16.6677), leaf: 0, edge: 1
[RTREE] This is node 1889 at depth: 10, the bounding box is (-88.8833,26.672), (-19.0139,27.2741), leaf: 0, edge: 1
[RTREE] This is node 1901 at depth: 10, the bounding box is (-90.0373,28.8719), (26.3963,38.1183), leaf: 0, edge: 1
[RTREE] This is node 1902 at depth: 10, the bounding box is (-35.804,43.2284), (8.95373,87.9317), leaf: 0, edge: 1
[RTREE] This is node 68 at depth: 9, the bounding box is (-90.0373,2.1207), (33.2657,87.9317), leaf: 1, edge: 0
[RTREE] This is node 21 at depth: 10, the bounding box is (-72.4607,-20.9287), (-60.4876,87.933), leaf: 0, edge: 1
[RTREE] This is node 24 at depth: 10, the bounding box is (-59.0561,21.3122), (-52.3552,35.9703), leaf: 0, edge: 1
[RTREE] This is node 124 at depth: 10, the bounding box is (-51.3911,-24.5994), (-41.2811,98.1167), leaf: 0, edge: 1
[RTREE] This is node 768 at depth: 10, the bounding box is (-74.3924,-38.983), (-25.8207,25.6563), leaf: 0, edge: 1
[RTREE] This is node 1905 at depth: 10, the bounding box is (-63.6313,-46.3363), (-39.9213,87.9245), leaf: 0, edge: 1
[RTREE] This is node 7 at depth: 9, the bounding box is (-74.3924,-46.3363), (-25.8207,98.1167), leaf: 1, edge: 0
[RTREE] This is node 67 at depth: 10, the bounding box is (-86.6298,-39.232), (-62.0582,89.673), leaf: 0, edge: 1
[RTREE] This is node 635 at depth: 10, the bounding box is (-78.2405,-85.3159), (-66.2858,14.0057), leaf: 0, edge: 1
[RTREE] This is node 742 at depth: 10, the bounding box is (-56.8507,-73.3139), (-56.8307,35.4902), leaf: 0, edge: 1
[RTREE] This is node 1894 at depth: 10, the bounding box is (-77.3171,-66.7974), (-64.5531,-23.0827), leaf: 0, edge: 1
[RTREE] This is node 125 at depth: 9, the bounding box is (-86.6298,-85.3159), (-56.8307,89.673), leaf: 1, edge: 0
[RTREE] This is node 1891 at depth: 10, the bounding box is (-21.022,-62.7451), (18.9655,64.5459), leaf: 0, edge: 1
[RTREE] This is node 1907 at depth: 10, the bounding box is (-26.692,-9.28766), (-20.5378,-7.13475), leaf: 0, edge: 1
[RTREE] This is node 1903 at depth: 9, the bounding box is (-26.692,-62.7451), (18.9655,64.5459), leaf: 1, edge: 0
[RTREE] This is node 62 at depth: 8, the bounding box is (-95.9953,-85.3159), (33.2657,98.1167), leaf: 0, edge: 0
[RTREE] This is node 3 at depth: 10, the bounding box is (-56.2745,-55.2781), (-49.5226,-25.861), leaf: 0, edge: 1
[RTREE] This is node 529 at depth: 10, the bounding box is (-56.7066,-86.2744), (-54.3537,56.6347), leaf: 0, edge: 1
[RTREE] This is node 46 at depth: 9, the bounding box is (-56.7066,-86.2744), (-49.5226,56.6347), leaf: 1, edge: 0
[RTREE] This is node 82 at depth: 8, the bounding box is (-56.7066,-86.2744), (-49.5226,56.6347), leaf: 0, edge: 0
[RTREE] This is node 697 at depth: 10, the bounding box is (-93.8208,-95.1801), (-88.1097,-67.2631), leaf: 0, edge: 1
[RTREE] This is node 634 at depth: 10, the bounding box is (-89.1598,-80.0007), (-75.4072,38.2772), leaf: 0, edge: 1
[RTREE] This is node 709 at depth: 9, the bounding box is (-93.8208,-95.1801), (-75.4072,38.2772), leaf: 1, edge: 0
[RTREE] This is node 554 at depth: 10, the bounding box is (-70.9769,-91.4491), (-66.3585,38.4947), leaf: 0, edge: 1
[RTREE] This is node 121 at depth: 10, the bounding box is (-61.6849,-62.0195), (-52.2819,91.9854), leaf: 0, edge: 1
[RTREE] This is node 683 at depth: 9, the bounding box is (-70.9769,-91.4491), (-52.2819,91.9854), leaf: 1, edge: 0
[RTREE] This is node 736 at depth: 8, the bounding box is (-93.8208,-95.1801), (-52.2819,91.9854), leaf: 0, edge: 0
[RTREE] This is node 708 at depth: 10, the bounding box is (-88.1553,70.3628), (-42.1393,90.4017), leaf: 0, edge: 1
[RTREE] This is node 12 at depth: 10, the bounding box is (-93.6416,12.191), (-48.4681,63.946), leaf: 0, edge: 1
[RTREE] This is node 735 at depth: 9, the bounding box is (-93.6416,12.191), (-42.1393,90.4017), leaf: 1, edge: 0
[RTREE] This is node 1893 at depth: 8, the bounding box is (-93.6416,12.191), (-42.1393,90.4017), leaf: 0, edge: 0
[RTREE] This is node 682 at depth: 10, the bounding box is (-62.9639,-39.7536), (-25.8889,-32.4879), leaf: 0, edge: 1
[RTREE] This is node 685 at depth: 10, the bounding box is (-61.5957,-51.1513), (-30.6407,-4.75312), leaf: 0, edge: 1
[RTREE] This is node 769 at depth: 9, the bounding box is (-62.9639,-51.1513), (-25.8889,-4.75312), leaf: 1, edge: 0
[RTREE] This is node 734 at depth: 10, the bounding box is (-58.9116,-89.1261), (-45.0526,16.7821), leaf: 0, edge: 1
