[RTREE] This is node 1008 at depth: 4, the bounding box is (894.804,209.953), (973.64,856.398), leaf: 0, edge: 1
[RTREE] This is node 723 at depth: 4, the bounding box is (346.143,242.723), (956.845,993.105), leaf: 0, edge: 1
[RTREE] This is node 344 at depth: 4, the bounding box is (-960.851,213.105), (986.794,865.007), leaf: 0, edge: 1
[RTREE] This is node 321 at depth: 4, the bounding box is (-516.842,172.684), (676.807,824.126), leaf: 0, edge: 1
[RTREE] This is node 486 at depth: 4, the bounding box is (-5.07431,183.358), (382.302,954.843), leaf: 0, edge: 1
[RTREE] This is node 566 at depth: 4, the bounding box is (159.764,229.182), (854.68,989.704), leaf: 0, edge: 1
[RTREE] This is node 743 at depth: 4, the bounding box is (-274.286,130.076), (902.472,944.315), leaf: 0, edge: 1
[RTREE] This is node 1027 at depth: 4, the bounding box is (9.98553,202.9), (986.054,938.142), leaf: 0, edge: 1
[RTREE] This is node 1185 at depth: 4, the bounding box is (-564.187,667.091), (-279.411,700.444), leaf: 0, edge: 1
[RTREE] This is node 1178 at depth: 3, the bounding box is (-960.851,130.076), (986.794,993.105), leaf: 1, edge: 0
[RTREE] This is node 835 at depth: 4, the bounding box is (-974.505,-89.0574), (-653.443,707.626), leaf: 0, edge: 1
[RTREE] This is node 592 at depth: 4, the bounding box is (-941.92,-172.951), (-625.033,465.948), leaf: 0, edge: 1
[RTREE] This is node 751 at depth: 4, the bounding box is (-991.629,-31.5715), (-361.353,202.041), leaf: 0, edge: 1
[RTREE] This is node 1004 at depth: 4, the bounding box is (-999.091,-492.224), (496.045,827.404), leaf: 0, edge: 1
[RTREE] This is node 1012 at depth: 4, the bounding box is (-975.765,-849.567), (-132.585,520.281), leaf: 0, edge: 1
[RTREE] This is node 1098 at depth: 4, the bounding box is (-919.87,-180.595), (-279.845,520.61), leaf: 0, edge: 1
[RTREE] This is node 1166 at depth: 4, the bounding box is (-761.648,594.334), (171.848,824.295), leaf: 0, edge: 1
[RTREE] This is node 1174 at depth: 4, the bounding box is (-582.739,29.9958), (417.165,824.55), leaf: 0, edge: 1
[RTREE] This is node 1182 at depth: 4, the bounding box is (-815.564,-262.99), (-110.701,394.815), leaf: 0, edge: 1
[RTREE] This is node 1184 at depth: 4, the bounding box is (249.831,-103.961), (478.874,405.817), leaf: 0, edge: 1
[RTREE] This is node 1186 at depth: 4, the bounding box is (-973.575,-658.041), (-391.589,-560.686), leaf: 0, edge: 1
[RTREE] This is node 1187 at depth: 4, the bounding box is (-496.149,-739.923), (90.5548,423.877), leaf: 0, edge: 1
[RTREE] This is node 1188 at depth: 4, the bounding box is (-932.05,105.872), (411.192,566.091), leaf: 0, edge: 1
[RTREE] This is node 1194 at depth: 4, the bounding box is (-445.629,-707.032), (456.203,-419.204), leaf: 0, edge: 1
[RTREE] This is node 1099 at depth: 3, the bounding box is (-999.091,-849.567), (496.045,827.404), leaf: 1, edge: 0
[RTREE] This is node 1060 at depth: 4, the bounding box is (-341.389,381.091), (914.824,953.347), leaf: 0, edge: 1
[RTREE] This is node 273 at depth: 4, the bounding box is (-608.999,700.022), (-55.2581,861.796), leaf: 0, edge: 1
[RTREE] This is node 514 at depth: 4, the bounding box is (-365.313,61.0341), (965.909,370.001), leaf: 0, edge: 1
[RTREE] This is node 730 at depth: 4, the bounding box is (-974.43,371.713), (-569.99,895.035), leaf: 0, edge: 1
[RTREE] This is node 738 at depth: 4, the bounding box is (-901.138,61.6185), (91.5232,987.002), leaf: 0, edge: 1
[RTREE] This is node 868 at depth: 4, the bounding box is (336.61,231.019), (621.497,982.768), leaf: 0, edge: 1
[RTREE] This is node 912 at depth: 4, the bounding box is (89.5714,12.7049), (927.491,869.845), leaf: 0, edge: 1
[RTREE] This is node 1017 at depth: 4, the bounding box is (-282.019,471.157), (952.088,831.483), leaf: 0, edge: 1
[RTREE] This is node 1018 at depth: 4, the bounding box is (-967.739,184.984), (739.897,944.987), leaf: 0, edge: 1
[RTREE] This is node 1105 at depth: 4, the bounding box is (-517.865,336.887), (787.505,949.9), leaf: 0, edge: 1
[RTREE] This is node 1115 at depth: 4, the bounding box is (30.9398,723.356), (696.226,953.351), leaf: 0, edge: 1
[RTREE] This is node 1161 at depth: 4, the bounding box is (-850.972,825.038), (-152.996,896.236), leaf: 0, edge: 1
[RTREE] This is node 1181 at depth: 4, the bounding box is (694.68,92.7227), (807.227,316.59), leaf: 0, edge: 1
[RTREE] This is node 1191 at depth: 4, the bounding box is (-538.068,87.8932), (-387.813,924.598), leaf: 0, edge: 1
[RTREE] This is node 744 at depth: 3, the bounding box is (-974.43,12.7049), (965.909,987.002), leaf: 1, edge: 0
[RTREE] This is node 1083 at depth: 4, the bounding box is (-973.915,-955.658), (766.271,-248.902), leaf: 0, edge: 1
[RTREE] This is node 264 at depth: 4, the bounding box is (-992.805,-873.015), (936.584,867.138), leaf: 0, edge: 1
[RTREE] This is node 604 at depth: 4, the bounding box is (-854.325,-981.554), (581.591,165.313), leaf: 0, edge: 1
[RTREE] This is node 452 at depth: 4, the bounding box is (-774.039,-982.186), (646.725,876.659), leaf: 0, edge: 1
[RTREE] This is node 597 at depth: 4, the bounding box is (-563.145,-539.282), (795.678,358.816), leaf: 0, edge: 1
[RTREE] This is node 598 at depth: 4, the bounding box is (-940.4,-449.499), (-386.129,-329.918), leaf: 0, edge: 1
[RTREE] This is node 600 at depth: 4, the bounding box is (-193.647,-795.797), (-128.99,-135.567), leaf: 0, edge: 1
[RTREE] This is node 724 at depth: 4, the bounding box is (-990.614,-289.521), (650.076,317.266), leaf: 0, edge: 1
[RTREE] This is node 852 at depth: 4, the bounding box is (-988.782,-919.147), (213.797,-581.025), leaf: 0, edge: 1
[RTREE] This is node 945 at depth: 4, the bounding box is (-979.378,-689.86), (322.266,-629.304), leaf: 0, edge: 1
[RTREE] This is node 1097 at depth: 4, the bounding box is (380.023,-773.566), (398.415,555.92), leaf: 0, edge: 1
[RTREE] This is node 1183 at depth: 4, the bounding box is (312.411,-890.428), (452.198,712.851), leaf: 0, edge: 1
[RTREE] This is node 1193 at depth: 4, the bounding box is (319.947,-112.72), (572.379,755.759), leaf: 0, edge: 1
[RTREE] This is node 651 at depth: 3, the bounding box is (-992.805,-982.186), (936.584,876.659), leaf: 1, edge: 0
[RTREE] This is node 527 at depth: 4, the bounding box is (382.364,436.918), (639.688,932.251), leaf: 0, edge: 1
[RTREE] This is node 535 at depth: 4, the bounding box is (-952.826,-209.377), (730.403,906.531), leaf: 0, edge: 1
[RTREE] This is node 404 at depth: 4, the bounding box is (-478.649,-989.076), (605.983,949.541), leaf: 0, edge: 1
[RTREE] This is node 440 at depth: 4, the bounding box is (-527.078,-576.5), (645.564,837.839), leaf: 0, edge: 1
[RTREE] This is node 441 at depth: 4, the bounding box is (-430.549,-699.708), (771.261,838.669), leaf: 0, edge: 1
[RTREE] This is node 455 at depth: 4, the bounding box is (199.876,-426.66), (640.871,908.547), leaf: 0, edge: 1
[RTREE] This is node 463 at depth: 4, the bounding box is (-184.81,-842.147), (570.363,950.466), leaf: 0, edge: 1
[RTREE] This is node 478 at depth: 4, the bounding box is (-427.459,-916.368), (325.54,738.344), leaf: 0, edge: 1
[RTREE] This is node 953 at depth: 4, the bounding box is (-470.426,-997.891), (-320.157,-852.261), leaf: 0, edge: 1
[RTREE] This is node 1138 at depth: 4, the bounding box is (-913.109,-970.33), (-729.014,883.99), leaf: 0, edge: 1
[RTREE] This is node 1165 at depth: 4, the bounding box is (-459.477,-946.446), (643.336,907.5), leaf: 0, edge: 1
[RTREE] This is node 1192 at depth: 4, the bounding box is (197.466,-323.66), (637.449,914.13), leaf: 0, edge: 1
[RTREE] This is node 570 at depth: 3, the bounding box is (-952.826,-997.891), (771.261,950.466), leaf: 1, edge: 0
[RTREE] This is node 650 at depth: 4, the bounding box is (597.232,435.073), (891.008,785.835), leaf: 0, edge: 1
[RTREE] This is node 502 at depth: 4, the bounding box is (-822.618,57.6562), (429.199,864.571), leaf: 0, edge: 1
[RTREE] This is node 505 at depth: 4, the bounding box is (-310.947,220.927), (574.685,917.034), leaf: 0, edge: 1
[RTREE] This is node 599 at depth: 4, the bounding box is (285.667,-773.313), (386.856,504.397), leaf: 0, edge: 1
[RTREE] This is node 602 at depth: 4, the bounding box is (-342.76,-690.774), (378.168,274.868), leaf: 0, edge: 1
[RTREE] This is node 608 at depth: 4, the bounding box is (-775.023,-698.116), (495.531,521.798), leaf: 0, edge: 1
[RTREE] This is node 615 at depth: 4, the bounding box is (-970.642,351.033), (-228.434,381.648), leaf: 0, edge: 1
[RTREE] This is node 620 at depth: 4, the bounding box is (-164.518,-438.516), (870.803,-116.021), leaf: 0, edge: 1
[RTREE] This is node 648 at depth: 4, the bounding box is (-961.233,-564.427), (188.847,782.493), leaf: 0, edge: 1
[RTREE] This is node 102 at depth: 3, the bounding box is (-970.642,-773.313), (891.008,917.034), leaf: 1, edge: 0
[RTREE] This is node 4 at depth: 4, the bounding box is (49.3112,909.85), (872.907,952.71), leaf: 0, edge: 1
[RTREE] This is node 1 at depth: 4, the bounding box is (57.5468,201.076), (698.785,900.118), leaf: 0, edge: 1
[RTREE] This is node 14 at depth: 4, the bounding box is (218.62,-427.746), (891.266,-322.664), leaf: 0, edge: 1
[RTREE] This is node 28 at depth: 4, the bounding box is (142.334,-73.6439), (858.627,953.533), leaf: 0, edge: 1
[RTREE] This is node 33 at depth: 4, the bounding box is (269.587,-545.175), (351.172,925.738), leaf: 0, edge: 1
[RTREE] This is node 38 at depth: 4, the bounding box is (320.494,304.328), (826.388,650.139), leaf: 0, edge: 1
[RTREE] This is node 45 at depth: 4, the bounding box is (125.071,-209.107), (470.398,847.584), leaf: 0, edge: 1
[RTREE] This is node 53 at depth: 4, the bounding box is (171.23,-84.2661), (773.823,244.221), leaf: 0, edge: 1
[RTREE] This is node 89 at depth: 4, the bounding box is (515.619,349.277), (550.144,703.21), leaf: 0, edge: 1
[RTREE] This is node 93 at depth: 4, the bounding box is (-72.7655,-158.839), (787.956,834.358), leaf: 0, edge: 1
[RTREE] This is node 137 at depth: 4, the bounding box is (266.924,-242.721), (426.697,733.67), leaf: 0, edge: 1
[RTREE] This is node 242 at depth: 4, the bounding box is (370.476,260.289), (956.418,947.68), leaf: 0, edge: 1
[RTREE] This is node 606 at depth: 4, the bounding box is (377.262,685.631), (626.031,941.353), leaf: 0, edge: 1
[RTREE] This is node 678 at depth: 4, the bounding box is (167.54,332.945), (949.949,878.429), leaf: 0, edge: 1
[RTREE] This is node 18 at depth: 3, the bounding box is (-72.7655,-545.175), (956.418,953.533), leaf: 1, edge: 0
[RTREE] This is node 362 at depth: 4, the bounding box is (602.601,-992.331), (808.715,59.33), leaf: 0, edge: 1
[RTREE] This is node 305 at depth: 4, the bounding box is (-203.901,-681.256), (683.814,841.122), leaf: 0, edge: 1
[RTREE] This is node 161 at depth: 4, the bounding box is (344.349,107.313), (428.653,680.737), leaf: 0, edge: 1
[RTREE] This is node 355 at depth: 4, the bounding box is (-144.271,-105.123), (822.25,884.803), leaf: 0, edge: 1
[RTREE] This is node 386 at depth: 4, the bounding box is (-262.369,-281.783), (865.708,887.02), leaf: 0, edge: 1
