[RTREE] This is node 12 at depth: 5, the bounding box is (7.1902,3.8), (7.2,5.3487), leaf: 0, edge: 1
[RTREE] This is node 14 at depth: 5, the bounding box is (7.1902,3.8), (7.2,5.3487), leaf: 0, edge: 1
[RTREE] This is node 56 at depth: 5, the bounding box is (7.2,2.4), (7.2,3.8), leaf: 0, edge: 1
[RTREE] This is node 31 at depth: 4, the bounding box is (7.1902,2.4), (7.2,5.3487), leaf: 1, edge: 0
[RTREE] This is node 57 at depth: 5, the bounding box is (7.2,2.4), (7.2,2.4), leaf: 0, edge: 1
[RTREE] This is node 18 at depth: 4, the bounding box is (7.2,2.4), (7.2,2.4), leaf: 1, edge: 0
[RTREE] This is node 7 at depth: 3, the bounding box is (7.1902,2.4), (7.2,5.3487), leaf: 0, edge: 0
[RTREE] This is node 8 at depth: 5, the bounding box is (6,2.4), (6,3.8), leaf: 0, edge: 1
[RTREE] This is node 9 at depth: 5, the bounding box is (6,3.8), (6,4.8), leaf: 0, edge: 1
[RTREE] This is node 23 at depth: 5, the bounding box is (6,1.8), (6,2.4), leaf: 0, edge: 1
[RTREE] This is node 29 at depth: 5, the bounding box is (6,3.8), (6,4.8), leaf: 0, edge: 1
[RTREE] This is node 15 at depth: 4, the bounding box is (6,1.8), (6,4.8), leaf: 1, edge: 0
[RTREE] This is node 30 at depth: 5, the bounding box is (7.2,1.8), (7.2,2.4), leaf: 0, edge: 1
[RTREE] This is node 13 at depth: 5, the bounding box is (7.2,2.4), (7.2,3.8), leaf: 0, edge: 1
[RTREE] This is node 24 at depth: 5, the bounding box is (7.2,2.4), (7.2,2.4), leaf: 0, edge: 1
[RTREE] This is node 11 at depth: 4, the bounding box is (7.2,1.8), (7.2,3.8), leaf: 1, edge: 0
[RTREE] This is node 54 at depth: 4, the bounding box is (6,1.8), (6,2.4), leaf: 0, edge: 1
[RTREE] This is node 60 at depth: 4, the bounding box is (7.2,1.8), (7.2,2.4), leaf: 0, edge: 1
[RTREE] This is node 48 at depth: 3, the bounding box is (6,1.8), (7.2,4.8), leaf: 1, edge: 0
[RTREE] This is node 67 at depth: 2, the bounding box is (6,1.8), (7.2,5.3487), leaf: 1, edge: 0
[RTREE] This is node 55 at depth: 5, the bounding box is (6,2.4), (7.2,2.4), leaf: 0, edge: 1
[RTREE] This is node 51 at depth: 5, the bounding box is (6,2.4), (7.2,2.4), leaf: 0, edge: 1
[RTREE] This is node 45 at depth: 5, the bounding box is (4.8,2.4), (6,2.4), leaf: 0, edge: 1
[RTREE] This is node 50 at depth: 5, the bounding box is (4.8,2.4), (6,2.4), leaf: 0, edge: 1
[RTREE] This is node 58 at depth: 4, the bounding box is (4.8,2.4), (7.2,2.4), leaf: 1, edge: 0
[RTREE] This is node 10 at depth: 5, the bounding box is (6,3.8), (7.2,3.8), leaf: 0, edge: 1
[RTREE] This is node 5 at depth: 5, the bounding box is (6,3.8), (7.2,3.8), leaf: 0, edge: 1
[RTREE] This is node 4 at depth: 5, the bounding box is (4.8,3.8), (6,3.8), leaf: 0, edge: 1
[RTREE] This is node 47 at depth: 4, the bounding box is (4.8,3.8), (7.2,3.8), leaf: 1, edge: 0
[RTREE] This is node 75 at depth: 3, the bounding box is (4.8,2.4), (7.2,3.8), leaf: 1, edge: 0
[RTREE] This is node 44 at depth: 4, the bounding box is (3.5,2.4), (4.8,2.4), leaf: 0, edge: 1
[RTREE] This is node 66 at depth: 3, the bounding box is (3.5,2.4), (4.8,2.4), leaf: 1, edge: 0
[RTREE] This is node 74 at depth: 4, the bounding box is (4.8,2.4), (4.8,3.8), leaf: 0, edge: 1
[RTREE] This is node 46 at depth: 5, the bounding box is (4.8,2.4), (4.8,3.8), leaf: 0, edge: 1
[RTREE] This is node 52 at depth: 5, the bounding box is (6,2.4), (6,3.8), leaf: 0, edge: 1
[RTREE] This is node 53 at depth: 4, the bounding box is (4.8,2.4), (6,3.8), leaf: 1, edge: 0
[RTREE] This is node 72 at depth: 4, the bounding box is (4.8,3.8), (6,3.8), leaf: 0, edge: 1
[RTREE] This is node 59 at depth: 3, the bounding box is (4.8,2.4), (6,3.8), leaf: 1, edge: 0
[RTREE] This is node 20 at depth: 2, the bounding box is (3.5,2.4), (7.2,3.8), leaf: 0, edge: 0
