x1: 2.000000, y1: 6.000000, x2: 2.000000, y2: 4.800000, map: jj_demo
x1: 2.000000, y1: 4.800000, x2: 2.000000, y2: 6.000000, map: jj_demo
x1: 2.000000, y1: 4.800000, x2: 2.000000, y2: 3.800000, map: jj_demo
x1: 6.000000, y1: 3.800000, x2: 4.800000, y2: 3.800000, map: jj_demo
x1: 6.000000, y1: 3.800000, x2: 7.200000, y2: 3.800000, map: jj_demo
x1: 6.000000, y1: 3.800000, x2: 6.000000, y2: 2.400000, map: jj_demo
x1: 6.000000, y1: 3.800000, x2: 6.000000, y2: 4.800000, map: jj_demo
x1: 7.200000, y1: 3.800000, x2: 6.000000, y2: 3.800000, map: jj_demo
x1: 7.200000, y1: 3.800000, x2: 7.190200, y2: 5.348700, map: jj_demo
x1: 7.200000, y1: 3.800000, x2: 7.200000, y2: 2.400000, map: jj_demo
x1: 7.190200, y1: 5.348700, x2: 7.200000, y2: 3.800000, map: jj_demo
x1: 4.800000, y1: 4.800000, x2: 4.800000, y2: 3.800000, map: jj_demo
x1: 3.700000, y1: 4.800000, x2: 3.500000, y2: 3.800000, map: jj_demo
x1: 3.200000, y1: 1.200000, x2: 3.500000, y2: 2.400000, map: jj_demo
x1: 4.800000, y1: 1.700000, x2: 4.800000, y2: 2.400000, map: jj_demo
x1: 6.000000, y1: 1.800000, x2: 6.000000, y2: 2.400000, map: jj_demo
x1: 7.200000, y1: 2.400000, x2: 7.200000, y2: 2.400000, map: jj_demo
x1: 2.000000, y1: 3.800000, x2: 2.000000, y2: 4.800000, map: jj_demo
x1: 2.000000, y1: 3.800000, x2: 2.000000, y2: 2.400000, map: jj_demo
x1: 2.000000, y1: 3.800000, x2: 3.500000, y2: 3.800000, map: jj_demo
x1: 6.000000, y1: 4.800000, x2: 6.000000, y2: 3.800000, map: jj_demo
x1: 7.200000, y1: 1.800000, x2: 7.200000, y2: 2.400000, map: jj_demo
x1: 2.000000, y1: 2.400000, x2: 2.000000, y2: 3.800000, map: jj_demo
x1: 2.000000, y1: 2.400000, x2: 3.500000, y2: 2.400000, map: jj_demo
x1: 3.500000, y1: 2.400000, x2: 2.000000, y2: 2.400000, map: jj_demo
x1: 3.500000, y1: 2.400000, x2: 4.800000, y2: 2.400000, map: jj_demo
x1: 3.500000, y1: 2.400000, x2: 3.500000, y2: 3.800000, map: jj_demo
x1: 3.500000, y1: 2.400000, x2: 3.200000, y2: 1.200000, map: jj_demo
x1: 4.800000, y1: 2.400000, x2: 3.500000, y2: 2.400000, map: jj_demo
x1: 4.800000, y1: 2.400000, x2: 6.000000, y2: 2.400000, map: jj_demo
x1: 4.800000, y1: 2.400000, x2: 4.800000, y2: 3.800000, map: jj_demo
x1: 4.800000, y1: 2.400000, x2: 4.800000, y2: 1.700000, map: jj_demo
x1: 6.000000, y1: 2.400000, x2: 4.800000, y2: 2.400000, map: jj_demo
x1: 6.000000, y1: 2.400000, x2: 7.200000, y2: 2.400000, map: jj_demo
x1: 6.000000, y1: 2.400000, x2: 6.000000, y2: 3.800000, map: jj_demo
x1: 6.000000, y1: 2.400000, x2: 6.000000, y2: 1.800000, map: jj_demo
x1: 7.200000, y1: 2.400000, x2: 6.000000, y2: 2.400000, map: jj_demo
x1: 7.200000, y1: 2.400000, x2: 7.200000, y2: 3.800000, map: jj_demo
x1: 7.200000, y1: 2.400000, x2: 7.200000, y2: 2.400000, map: jj_demo
x1: 7.200000, y1: 2.400000, x2: 7.200000, y2: 1.800000, map: jj_demo
x1: 3.500000, y1: 3.800000, x2: 2.000000, y2: 3.800000, map: jj_demo
x1: 3.500000, y1: 3.800000, x2: 4.800000, y2: 3.800000, map: jj_demo
x1: 3.500000, y1: 3.800000, x2: 3.700000, y2: 4.800000, map: jj_demo
x1: 3.500000, y1: 3.800000, x2: 3.500000, y2: 2.400000, map: jj_demo
x1: 4.800000, y1: 3.800000, x2: 3.500000, y2: 3.800000, map: jj_demo
x1: 4.800000, y1: 3.800000, x2: 6.000000, y2: 3.800000, map: jj_demo
x1: 4.800000, y1: 3.800000, x2: 4.800000, y2: 4.800000, map: jj_demo
x1: 4.800000, y1: 3.800000, x2: 4.800000, y2: 2.400000, map: jj_demo
